review_id,viewer_id,movie_id,rating,sentiment,review_text,review_date
66,229,1,5.0,positive,Stunning visuals and great performances.,2025-04-24
67,574,1,5.0,positive,Absolutely loved it — best film I've seen this year.,2025-03-08
68,24,9,3.9,neutral,Somewhere between good and great.,2025-03-06
69,428,1,4.4,positive,Absolutely loved it — best film I've seen this year.,2025-04-07
70,222,4,4.1,positive,Stunning visuals and great performances.,2025-04-26
71,226,15,4.2,positive,Stunning visuals and great performances.,2025-03-05
72,371,9,3.5,neutral,Enjoyable but forgettable.,2025-04-30
73,18,15,4.8,positive,Stunning visuals and great performances.,2025-04-14
74,353,1,5.0,positive,Exceeded all my expectations. Watch it now.,2025-04-09
75,445,1,5.0,positive,Stunning visuals and great performances.,2025-01-18
76,151,6,2.9,negative,Comedy fell flat throughout.,2025-04-13
77,273,11,4.0,positive,Absolutely loved it — best film I've seen this year.,2025-03-20
78,388,3,3.8,neutral,"Good performances, weak story.",2025-04-17
79,576,9,4.2,positive,Exceeded all my expectations. Watch it now.,2025-04-18
80,150,4,4.3,positive,Gripping from start to finish. Highly recommended.,2025-04-22
81,124,3,3.4,neutral,"Good performances, weak story.",2025-04-03
82,409,11,5.0,positive,One of the best of the decade.,2024-08-27
83,522,2,4.2,positive,Stunning visuals and great performances.,2025-04-29
84,31,13,3.4,neutral,Enjoyable but forgettable.,2025-03-10
85,527,11,4.8,positive,Exceeded all my expectations. Watch it now.,2025-04-15
86,399,3,3.9,neutral,"Decent watch, nothing groundbreaking.",2025-03-25
87,207,1,5.0,positive,Absolutely loved it — best film I've seen this year.,2025-01-25
88,343,9,3.9,neutral,"Decent watch, nothing groundbreaking.",2025-01-11
89,286,15,4.2,positive,Absolutely loved it — best film I've seen this year.,2024-11-29
90,75,9,4.1,positive,Stunning visuals and great performances.,2025-01-11
91,535,4,4.5,positive,Gripping from start to finish. Highly recommended.,2025-04-29
92,422,15,3.5,neutral,Enjoyable but forgettable.,2024-09-27
93,18,10,3.9,neutral,Worth watching once.,2025-04-27
94,289,4,4.7,positive,Exceeded all my expectations. Watch it now.,2025-03-06
95,413,1,5.0,positive,Exceeded all my expectations. Watch it now.,2025-04-10
96,141,1,4.4,positive,Stunning visuals and great performances.,2025-01-17
97,486,6,3.1,neutral,Worth watching once.,2025-02-03
98,579,15,4.7,positive,One of the best of the decade.,2024-10-02
99,537,11,4.2,positive,One of the best of the decade.,2024-10-24
100,200,1,5.0,positive,Gripping from start to finish. Highly recommended.,2025-02-09
101,322,4,4.6,positive,Stunning visuals and great performances.,2025-03-07
102,411,2,4.2,positive,Absolutely loved it — best film I've seen this year.,2025-04-08
103,169,6,2.5,negative,Disappointed — not what the trailer promised.,2025-02-07
104,1,8,2.3,negative,Comedy fell flat throughout.,2025-04-19
105,326,2,3.4,neutral,Enjoyable but forgettable.,2025-04-08
106,588,5,5.0,positive,Stunning visuals and great performances.,2025-04-17
107,559,1,4.7,positive,Stunning visuals and great performances.,2025-02-23
108,51,2,4.3,positive,Gripping from start to finish. Highly recommended.,2025-04-23
109,523,3,4.2,positive,Absolutely loved it — best film I've seen this year.,2025-03-28
110,292,4,4.7,positive,Absolutely loved it — best film I've seen this year.,2025-03-16
111,408,4,4.1,positive,Exceeded all my expectations. Watch it now.,2025-04-23
112,146,1,4.0,positive,Exceeded all my expectations. Watch it now.,2025-04-19
113,192,11,4.1,positive,Absolutely loved it — best film I've seen this year.,2024-06-19
114,95,12,4.3,positive,Exceeded all my expectations. Watch it now.,2025-04-05
115,199,12,4.3,positive,Stunning visuals and great performances.,2024-12-30
116,430,15,4.2,positive,Gripping from start to finish. Highly recommended.,2025-02-08
117,449,6,2.4,negative,Slow pacing and predictable plot.,2025-03-23
118,238,13,3.2,neutral,Somewhere between good and great.,2025-01-09
119,327,13,3.8,neutral,Worth watching once.,2024-11-15
120,587,3,3.7,neutral,Worth watching once.,2025-03-23
121,439,5,4.5,positive,Exceeded all my expectations. Watch it now.,2025-04-26
122,122,14,2.0,negative,Comedy fell flat throughout.,2024-12-31
123,242,10,3.0,neutral,Worth watching once.,2025-04-08
124,16,13,4.2,positive,Stunning visuals and great performances.,2024-11-08
125,176,3,4.3,positive,Gripping from start to finish. Highly recommended.,2025-04-05
126,336,9,4.5,positive,Gripping from start to finish. Highly recommended.,2025-01-16
127,16,15,4.0,positive,Stunning visuals and great performances.,2025-01-31
128,108,15,3.8,neutral,"Good performances, weak story.",2024-12-27
129,179,7,2.5,negative,Disappointed — not what the trailer promised.,2025-04-15
130,582,1,4.2,positive,Exceeded all my expectations. Watch it now.,2025-03-14
131,548,11,4.7,positive,Stunning visuals and great performances.,2024-10-10
132,555,4,4.3,positive,Stunning visuals and great performances.,2025-04-24
133,39,13,3.9,neutral,"Good performances, weak story.",2024-11-16
134,236,15,4.2,positive,One of the best of the decade.,2025-01-03
135,520,15,3.8,neutral,"Good performances, weak story.",2025-02-27
136,346,1,4.3,positive,One of the best of the decade.,2025-03-21
137,356,6,2.6,negative,Comedy fell flat throughout.,2025-04-18
138,469,6,2.5,negative,Disappointed — not what the trailer promised.,2025-04-26
139,241,9,4.8,positive,One of the best of the decade.,2025-02-25
140,490,4,4.9,positive,Gripping from start to finish. Highly recommended.,2025-04-24
141,463,11,4.1,positive,Stunning visuals and great performances.,2024-12-23
142,66,11,4.1,positive,Exceeded all my expectations. Watch it now.,2025-02-20
143,589,9,3.5,neutral,Worth watching once.,2025-03-10
144,158,5,4.6,positive,Gripping from start to finish. Highly recommended.,2025-04-15
145,40,5,5.0,positive,One of the best of the decade.,2025-04-15
146,1,9,5.0,positive,Exceeded all my expectations. Watch it now.,2025-03-28
147,54,2,3.9,neutral,"Good performances, weak story.",2025-02-11
148,370,9,3.8,neutral,Worth watching once.,2025-02-22
149,40,10,3.6,neutral,"Decent watch, nothing groundbreaking.",2025-04-06
150,555,1,5.0,positive,Gripping from start to finish. Highly recommended.,2025-04-24
151,187,10,4.0,positive,One of the best of the decade.,2025-04-24
152,404,4,4.1,positive,Gripping from start to finish. Highly recommended.,2025-03-03
153,253,3,4.0,positive,Gripping from start to finish. Highly recommended.,2025-04-25
154,276,10,3.5,neutral,Worth watching once.,2025-04-13
155,587,13,4.0,positive,Absolutely loved it — best film I've seen this year.,2025-02-03
156,267,4,5.0,positive,Absolutely loved it — best film I've seen this year.,2025-03-27
157,495,2,4.1,positive,Gripping from start to finish. Highly recommended.,2025-03-23
158,590,3,3.3,neutral,Enjoyable but forgettable.,2025-04-16
159,352,15,4.4,positive,One of the best of the decade.,2025-02-17
160,379,11,4.8,positive,Absolutely loved it — best film I've seen this year.,2024-10-04
161,401,13,3.9,neutral,"Good performances, weak story.",2025-02-09
162,502,1,4.6,positive,One of the best of the decade.,2025-02-17
163,17,15,4.8,positive,One of the best of the decade.,2024-12-06
164,295,11,4.0,positive,Stunning visuals and great performances.,2024-10-04
165,525,1,4.5,positive,One of the best of the decade.,2025-01-24
166,116,14,3.0,neutral,Worth watching once.,2025-03-03
167,342,5,5.0,positive,One of the best of the decade.,2025-04-12
168,39,2,4.2,positive,Absolutely loved it — best film I've seen this year.,2025-03-26
169,465,2,4.0,positive,Absolutely loved it — best film I've seen this year.,2025-03-21
170,208,12,4.8,positive,Absolutely loved it — best film I've seen this year.,2024-10-14
171,430,10,3.2,neutral,Worth watching once.,2025-04-05
172,437,2,4.7,positive,Exceeded all my expectations. Watch it now.,2025-03-20
173,154,1,5.0,positive,Absolutely loved it — best film I've seen this year.,2025-02-20
174,90,15,4.2,positive,Absolutely loved it — best film I've seen this year.,2025-04-01
175,125,3,3.4,neutral,Somewhere between good and great.,2025-04-24
176,62,4,4.5,positive,One of the best of the decade.,2025-03-02
177,241,11,4.6,positive,One of the best of the decade.,2025-03-08
178,357,6,2.4,negative,Comedy fell flat throughout.,2025-02-17
179,439,13,4.2,positive,Exceeded all my expectations. Watch it now.,2024-11-22
180,598,15,4.1,positive,One of the best of the decade.,2024-12-30
181,306,11,3.8,neutral,Enjoyable but forgettable.,2024-08-21
182,346,5,4.7,positive,One of the best of the decade.,2025-04-15
183,348,15,4.6,positive,One of the best of the decade.,2025-01-01
184,325,15,4.1,positive,One of the best of the decade.,2024-11-27
185,122,1,5.0,positive,Absolutely loved it — best film I've seen this year.,2025-04-28
186,341,9,4.7,positive,Absolutely loved it — best film I've seen this year.,2025-01-22
187,160,15,4.4,positive,Stunning visuals and great performances.,2024-12-19
188,238,9,4.0,positive,Absolutely loved it — best film I've seen this year.,2025-02-04
189,119,1,5.0,positive,Stunning visuals and great performances.,2025-02-24
190,6,1,4.1,positive,Stunning visuals and great performances.,2025-02-27
191,436,5,4.0,positive,One of the best of the decade.,2025-04-28
192,103,2,4.0,positive,Stunning visuals and great performances.,2025-03-18
193,396,2,3.6,neutral,Somewhere between good and great.,2025-04-28
194,503,15,4.2,positive,Gripping from start to finish. Highly recommended.,2025-01-20
195,434,15,4.0,positive,Exceeded all my expectations. Watch it now.,2025-02-25
196,300,11,3.3,neutral,Worth watching once.,2024-08-27
197,172,10,4.3,positive,Stunning visuals and great performances.,2025-04-17
198,72,2,4.7,positive,One of the best of the decade.,2025-03-07
199,109,12,4.7,positive,Gripping from start to finish. Highly recommended.,2024-10-07
200,130,12,4.9,positive,Gripping from start to finish. Highly recommended.,2025-01-22
201,313,1,4.7,positive,One of the best of the decade.,2025-01-26
202,9,1,4.7,positive,Absolutely loved it — best film I've seen this year.,2025-03-22
203,567,2,4.1,positive,Exceeded all my expectations. Watch it now.,2025-03-24
204,170,1,4.9,positive,Exceeded all my expectations. Watch it now.,2025-03-07
205,186,5,5.0,positive,Stunning visuals and great performances.,2025-04-20
206,267,4,4.6,positive,Stunning visuals and great performances.,2025-04-26
207,585,9,3.6,neutral,"Decent watch, nothing groundbreaking.",2025-02-15
208,93,1,4.7,positive,One of the best of the decade.,2025-04-29
209,568,11,4.0,positive,Gripping from start to finish. Highly recommended.,2024-08-03
210,563,3,3.5,neutral,Enjoyable but forgettable.,2025-04-19
211,469,15,4.1,positive,Gripping from start to finish. Highly recommended.,2024-11-04
212,223,4,4.2,positive,One of the best of the decade.,2025-04-29
213,334,15,5.0,positive,Gripping from start to finish. Highly recommended.,2024-10-29
214,581,1,4.5,positive,One of the best of the decade.,2025-02-11
215,438,10,4.5,positive,Stunning visuals and great performances.,2025-04-03
216,242,9,3.3,neutral,Somewhere between good and great.,2025-03-16
217,373,1,5.0,positive,Gripping from start to finish. Highly recommended.,2025-04-26
218,554,7,2.4,negative,Slow pacing and predictable plot.,2025-03-30
219,501,6,2.3,negative,Comedy fell flat throughout.,2025-04-01
220,403,2,4.5,positive,Stunning visuals and great performances.,2025-03-11
221,260,15,4.0,positive,One of the best of the decade.,2025-04-10
222,511,15,4.2,positive,One of the best of the decade.,2025-03-17
223,597,10,4.0,positive,Exceeded all my expectations. Watch it now.,2025-03-30
224,179,2,4.5,positive,Exceeded all my expectations. Watch it now.,2025-02-16
225,480,1,4.4,positive,One of the best of the decade.,2025-03-19
226,220,10,4.3,positive,Exceeded all my expectations. Watch it now.,2025-04-19
227,532,1,5.0,positive,Gripping from start to finish. Highly recommended.,2025-01-31
228,101,1,4.4,positive,Gripping from start to finish. Highly recommended.,2025-04-26
229,56,3,3.8,neutral,Somewhere between good and great.,2025-04-03
230,46,1,4.1,positive,Stunning visuals and great performances.,2025-04-22
231,477,6,1.7,negative,Wouldn't recommend.,2025-04-02
232,583,5,4.0,positive,Exceeded all my expectations. Watch it now.,2025-04-16
233,382,9,3.8,neutral,Somewhere between good and great.,2025-02-19
234,548,2,3.5,neutral,Worth watching once.,2025-02-15
235,42,11,4.8,positive,Gripping from start to finish. Highly recommended.,2024-06-20
236,310,2,3.8,neutral,Enjoyable but forgettable.,2025-03-29
237,588,9,4.3,positive,Stunning visuals and great performances.,2025-01-19
238,356,4,3.7,neutral,Enjoyable but forgettable.,2025-03-12
239,96,13,2.9,negative,Disappointed — not what the trailer promised.,2024-12-16
240,172,9,3.6,neutral,Somewhere between good and great.,2025-04-10
241,490,3,4.2,positive,Stunning visuals and great performances.,2025-04-23
242,202,2,4.2,positive,Absolutely loved it — best film I've seen this year.,2025-04-22
243,512,4,4.1,positive,Absolutely loved it — best film I've seen this year.,2025-02-28
244,50,1,4.8,positive,Gripping from start to finish. Highly recommended.,2025-04-18
245,472,1,4.8,positive,Exceeded all my expectations. Watch it now.,2025-03-15
246,143,11,4.4,positive,Absolutely loved it — best film I've seen this year.,2024-08-09
247,116,8,2.3,negative,Comedy fell flat throughout.,2025-04-24
248,186,1,4.5,positive,Absolutely loved it — best film I've seen this year.,2025-01-30
249,352,9,4.2,positive,One of the best of the decade.,2025-04-12
250,255,4,4.4,positive,Gripping from start to finish. Highly recommended.,2025-03-13
251,346,1,4.3,positive,Gripping from start to finish. Highly recommended.,2025-03-24
252,184,1,4.5,positive,Exceeded all my expectations. Watch it now.,2025-04-08
253,107,13,4.0,positive,Gripping from start to finish. Highly recommended.,2025-01-19
254,93,1,4.1,positive,Stunning visuals and great performances.,2025-01-17
255,144,11,4.0,positive,Stunning visuals and great performances.,2024-06-16
256,335,7,2.1,negative,Slow pacing and predictable plot.,2025-03-19
257,199,8,2.2,negative,Expected more from this cast.,2025-04-23
258,68,10,3.9,neutral,"Decent watch, nothing groundbreaking.",2025-04-12
259,598,10,3.5,neutral,Worth watching once.,2025-03-31
260,235,11,4.0,positive,Exceeded all my expectations. Watch it now.,2024-08-11
261,563,1,5.0,positive,Stunning visuals and great performances.,2025-03-25
262,315,3,4.8,positive,Gripping from start to finish. Highly recommended.,2025-04-04
263,160,13,3.7,neutral,"Decent watch, nothing groundbreaking.",2024-12-14
264,56,15,4.5,positive,Exceeded all my expectations. Watch it now.,2024-10-16
265,507,3,4.1,positive,Stunning visuals and great performances.,2025-03-25
266,63,1,4.9,positive,Exceeded all my expectations. Watch it now.,2025-04-17
267,23,10,4.2,positive,Exceeded all my expectations. Watch it now.,2025-04-13
268,289,1,4.9,positive,One of the best of the decade.,2025-04-08
269,163,15,4.6,positive,Absolutely loved it — best film I've seen this year.,2024-11-10
270,293,10,4.0,positive,Absolutely loved it — best film I've seen this year.,2025-04-14
271,416,1,5.0,positive,Exceeded all my expectations. Watch it now.,2025-03-28
272,463,14,2.5,negative,Expected more from this cast.,2024-12-03
273,454,13,3.6,neutral,Somewhere between good and great.,2025-04-30
274,357,11,4.3,positive,Stunning visuals and great performances.,2024-11-04
275,492,4,4.5,positive,Absolutely loved it — best film I've seen this year.,2025-03-03
276,258,12,4.8,positive,Exceeded all my expectations. Watch it now.,2024-12-09
277,122,1,4.8,positive,One of the best of the decade.,2025-01-30
278,28,1,4.7,positive,Exceeded all my expectations. Watch it now.,2025-03-26
279,93,2,3.8,neutral,Worth watching once.,2025-02-28
280,44,4,4.5,positive,One of the best of the decade.,2025-02-15
281,459,5,4.8,positive,Absolutely loved it — best film I've seen this year.,2025-04-09
282,111,8,1.7,negative,Expected more from this cast.,2025-04-29
283,419,1,5.0,positive,Exceeded all my expectations. Watch it now.,2025-01-28
284,474,2,4.3,positive,Gripping from start to finish. Highly recommended.,2025-03-22
285,370,1,5.0,positive,One of the best of the decade.,2025-02-19
286,205,5,4.8,positive,Exceeded all my expectations. Watch it now.,2025-04-10
287,446,1,4.7,positive,Gripping from start to finish. Highly recommended.,2025-02-28
288,541,6,2.5,negative,Expected more from this cast.,2025-03-26
289,31,4,4.1,positive,Gripping from start to finish. Highly recommended.,2025-03-01
290,342,6,2.5,negative,Slow pacing and predictable plot.,2025-04-23
291,161,12,4.6,positive,Exceeded all my expectations. Watch it now.,2025-04-13
292,448,2,3.6,neutral,Worth watching once.,2025-04-04
293,538,12,5.0,positive,Gripping from start to finish. Highly recommended.,2025-03-20
294,487,1,5.0,positive,Absolutely loved it — best film I've seen this year.,2025-01-19
295,103,1,4.7,positive,Stunning visuals and great performances.,2025-02-26
296,26,9,4.4,positive,Absolutely loved it — best film I've seen this year.,2025-04-16
297,479,1,4.3,positive,Absolutely loved it — best film I've seen this year.,2025-02-16
298,269,1,4.9,positive,One of the best of the decade.,2025-02-14
299,577,6,2.5,negative,Expected more from this cast.,2025-04-11
300,256,1,4.6,positive,Absolutely loved it — best film I've seen this year.,2025-02-24
301,514,11,4.7,positive,Absolutely loved it — best film I've seen this year.,2025-04-09
302,509,2,4.2,positive,Exceeded all my expectations. Watch it now.,2025-04-26
303,67,6,2.1,negative,Slow pacing and predictable plot.,2025-03-28
304,124,8,2.3,negative,Comedy fell flat throughout.,2025-04-24
305,392,8,2.3,negative,Disappointed — not what the trailer promised.,2025-04-20
306,294,2,3.9,neutral,"Decent watch, nothing groundbreaking.",2025-04-11
307,179,5,4.6,positive,Stunning visuals and great performances.,2025-04-18
308,528,2,4.4,positive,One of the best of the decade.,2025-04-25
309,457,2,3.9,neutral,"Decent watch, nothing groundbreaking.",2025-02-16
310,271,10,3.7,neutral,Enjoyable but forgettable.,2025-04-26
311,220,13,3.9,neutral,Worth watching once.,2024-11-21
312,554,5,4.5,positive,Gripping from start to finish. Highly recommended.,2025-04-08
313,29,1,4.9,positive,Stunning visuals and great performances.,2025-01-27
314,559,13,3.8,neutral,"Decent watch, nothing groundbreaking.",2025-01-07
315,526,3,3.7,neutral,Somewhere between good and great.,2025-04-23
316,599,13,3.2,neutral,Worth watching once.,2024-12-15
317,23,13,4.1,positive,One of the best of the decade.,2025-03-16
318,297,9,4.2,positive,One of the best of the decade.,2025-01-08
319,409,12,5.0,positive,Stunning visuals and great performances.,2024-11-05
320,165,6,1.5,negative,Disappointed — not what the trailer promised.,2025-03-26
321,239,15,4.7,positive,One of the best of the decade.,2025-01-05
322,383,15,4.0,positive,Exceeded all my expectations. Watch it now.,2024-09-17
323,554,6,2.5,negative,Disappointed — not what the trailer promised.,2025-03-22
324,485,5,4.6,positive,Absolutely loved it — best film I've seen this year.,2025-04-10
325,413,13,3.6,neutral,"Decent watch, nothing groundbreaking.",2025-04-22
326,162,9,4.1,positive,One of the best of the decade.,2025-04-29
327,170,5,4.7,positive,One of the best of the decade.,2025-04-26
328,517,4,4.1,positive,Gripping from start to finish. Highly recommended.,2025-04-14
329,489,10,3.1,neutral,"Decent watch, nothing groundbreaking.",2025-04-16
330,364,1,5.0,positive,Gripping from start to finish. Highly recommended.,2025-04-16
331,595,1,4.8,positive,Exceeded all my expectations. Watch it now.,2025-01-29
332,46,3,3.8,neutral,Worth watching once.,2025-04-26
333,567,9,4.1,positive,One of the best of the decade.,2025-02-02
334,387,3,4.2,positive,Stunning visuals and great performances.,2025-03-28
335,408,11,3.5,neutral,Enjoyable but forgettable.,2024-11-08
336,432,9,4.2,positive,Stunning visuals and great performances.,2025-04-21
337,272,9,3.8,neutral,Somewhere between good and great.,2025-02-28
338,464,1,4.9,positive,One of the best of the decade.,2025-02-23
339,347,1,4.5,positive,Absolutely loved it — best film I've seen this year.,2025-03-05
340,365,1,4.8,positive,One of the best of the decade.,2025-04-22
341,560,2,3.9,neutral,Enjoyable but forgettable.,2025-02-08
342,588,5,4.4,positive,Gripping from start to finish. Highly recommended.,2025-04-13
343,43,6,1.9,negative,Comedy fell flat throughout.,2025-02-14
344,405,15,4.2,positive,Exceeded all my expectations. Watch it now.,2024-10-23
345,590,15,4.3,positive,Absolutely loved it — best film I've seen this year.,2025-01-01
346,65,1,4.3,positive,Absolutely loved it — best film I've seen this year.,2025-02-22
347,255,1,4.9,positive,Stunning visuals and great performances.,2025-04-09
348,168,11,4.2,positive,Gripping from start to finish. Highly recommended.,2025-01-06
349,1,1,4.8,positive,Stunning visuals and great performances.,2025-02-07
350,45,15,4.9,positive,Stunning visuals and great performances.,2024-12-06
351,23,6,2.7,negative,Slow pacing and predictable plot.,2025-03-15
352,286,14,2.7,negative,Expected more from this cast.,2025-01-09
353,326,1,4.8,positive,Absolutely loved it — best film I've seen this year.,2025-02-08
354,281,10,3.9,neutral,"Decent watch, nothing groundbreaking.",2025-04-25
355,496,4,5.0,positive,Absolutely loved it — best film I've seen this year.,2025-04-21
356,265,1,5.0,positive,One of the best of the decade.,2025-03-24
357,555,7,2.5,negative,Disappointed — not what the trailer promised.,2025-04-04
358,565,4,4.4,positive,Gripping from start to finish. Highly recommended.,2025-02-26
359,108,2,3.7,neutral,Enjoyable but forgettable.,2025-03-21
360,404,9,4.1,positive,Exceeded all my expectations. Watch it now.,2025-02-07
361,255,6,2.0,negative,Wouldn't recommend.,2025-03-19
362,563,10,3.5,neutral,Worth watching once.,2025-04-18
363,93,15,4.0,positive,Stunning visuals and great performances.,2024-12-11
364,322,7,2.8,negative,Disappointed — not what the trailer promised.,2025-03-17
365,185,1,5.0,positive,Absolutely loved it — best film I've seen this year.,2025-04-12
366,370,11,4.6,positive,Gripping from start to finish. Highly recommended.,2024-12-24
367,486,13,3.9,neutral,"Decent watch, nothing groundbreaking.",2025-02-24
368,64,9,4.1,positive,Gripping from start to finish. Highly recommended.,2025-04-21
369,405,8,2.3,negative,Slow pacing and predictable plot.,2025-04-24
370,421,3,3.4,neutral,Enjoyable but forgettable.,2025-03-28
371,58,5,4.6,positive,Exceeded all my expectations. Watch it now.,2025-04-20
372,26,1,5.0,positive,One of the best of the decade.,2025-04-08
373,544,9,3.9,neutral,Somewhere between good and great.,2025-02-06
374,301,2,4.3,positive,Exceeded all my expectations. Watch it now.,2025-03-28
375,571,9,3.9,neutral,Somewhere between good and great.,2025-03-01
376,421,4,5.0,positive,Absolutely loved it — best film I've seen this year.,2025-03-27
377,319,11,4.2,positive,Stunning visuals and great performances.,2025-01-14
378,502,13,3.8,neutral,Worth watching once.,2025-02-03
379,316,6,2.8,negative,Expected more from this cast.,2025-02-25
380,519,2,4.2,positive,One of the best of the decade.,2025-02-11
381,265,4,4.4,positive,Exceeded all my expectations. Watch it now.,2025-04-03
382,189,11,4.9,positive,Exceeded all my expectations. Watch it now.,2024-12-01
383,343,10,4.2,positive,One of the best of the decade.,2025-04-21
384,55,2,4.2,positive,Absolutely loved it — best film I've seen this year.,2025-04-03
385,302,1,4.8,positive,Gripping from start to finish. Highly recommended.,2025-04-22
386,439,11,4.4,positive,Exceeded all my expectations. Watch it now.,2025-02-09
387,69,3,4.1,positive,Exceeded all my expectations. Watch it now.,2025-03-23
388,182,1,5.0,positive,Stunning visuals and great performances.,2025-04-15
389,516,15,5.0,positive,Stunning visuals and great performances.,2025-01-29
390,398,11,4.7,positive,Absolutely loved it — best film I've seen this year.,2024-06-15
391,486,11,4.3,positive,One of the best of the decade.,2025-03-03
392,493,15,4.3,positive,Exceeded all my expectations. Watch it now.,2025-02-05
393,367,1,4.9,positive,Exceeded all my expectations. Watch it now.,2025-04-25
394,280,13,3.5,neutral,Worth watching once.,2024-12-12
395,169,15,4.0,positive,Exceeded all my expectations. Watch it now.,2024-10-04
396,114,1,4.9,positive,Gripping from start to finish. Highly recommended.,2025-01-21
397,491,2,4.1,positive,Stunning visuals and great performances.,2025-03-09
398,396,4,5.0,positive,One of the best of the decade.,2025-02-20
399,173,4,4.0,positive,Stunning visuals and great performances.,2025-03-19
400,180,15,4.9,positive,Stunning visuals and great performances.,2024-10-17
401,516,1,4.1,positive,Stunning visuals and great performances.,2025-02-16
402,275,3,3.7,neutral,"Decent watch, nothing groundbreaking.",2025-03-24
